trial,range_top_band_start,range_buy_k,range_buy_floor,range_sell_k,range_sell_cap,sharpe_ratio,sortino_ratio,max_drawdown,total_return,total_trades,avg_holding_period_hours,output_dir
47,0.5,3.0,0.2,0.0,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_047
48,0.7,0.5,0.5,0.7,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_048
49,0.65,2.0,0.9,1.5,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_049
50,0.7,1.6,0.4,2.0,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_050
51,0.65,0.0,0.2,2.0,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_051
52,0.65,0.2,0.2,2.0,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_052
53,0.65,0.8,0.2,1.5,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_053
55,0.65,1.2,0.5,1.5,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_055
56,0.55,1.2,0.9,1.5,6.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_056
57,0.55,1.2,0.7,0.3,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_057
61,0.7,2.0,0.5,0.7,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_061
62,0.65,1.6,0.9,2.0,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_062
63,0.65,1.2,0.4,4.0,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_063
64,0.52,3.0,0.2,1.5,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_064
66,0.52,2.0,0.3,4.0,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_066
67,0.6,3.0,0.4,0.3,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_067
68,0.52,0.2,0.3,1.5,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_068
69,0.52,0.0,0.7,0.3,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_069
70,0.65,0.5,0.7,3.0,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_070
71,0.52,1.6,0.9,1.5,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_071
