trial,breakout_band_atr_mult,breakout_band_pct,breakout_buy_k,breakout_buy_floor,breakout_block_threshold,sharpe_ratio,sortino_ratio,max_drawdown,total_return,total_trades,avg_holding_period_hours,output_dir
29,1.0,0.002,0.4,0.35,0.85,5.203889003270018,11.968595219498125,-0.18463456195150307,0.5644403585999692,302.0,1.8497240618101545,run\results_lean_taogrid_breakout_risk_sweep\trial_029
119,2.0,0.002,0.4,0.5,0.85,5.203889003270018,11.968595219498125,-0.18463456195150307,0.5644403585999692,302.0,1.8497240618101545,run\results_lean_taogrid_breakout_risk_sweep\trial_119
30,0.8,0.003,2.0,0.35,0.7,5.203889003270018,11.968595219498107,-0.18463456195150427,0.554143625420907,295.0,1.8219774011299437,run\results_lean_taogrid_breakout_risk_sweep\trial_030
50,2.0,0.002,2.0,0.5,0.85,5.203889003270014,11.96859521949798,-0.18463456195150457,0.5558882514176192,297.0,1.8129629629629627,run\results_lean_taogrid_breakout_risk_sweep\trial_050
53,3.0,0.0015,0.9,0.35,0.95,5.203889003270011,11.96859521949789,-0.18463456195150413,0.5598683790120599,303.0,1.8617161716171617,run\results_lean_taogrid_breakout_risk_sweep\trial_053
69,0.8,0.003,1.2,0.05,0.8,5.203889003270003,11.96859521949799,-0.18463456195150488,0.5583097355824546,301.0,1.870874861572536,run\results_lean_taogrid_breakout_risk_sweep\trial_069
52,2.0,0.001,0.6,0.5,0.85,5.20388900326999,11.96859521949792,-0.18463456195150474,0.5625361478736648,304.0,1.8993969298245612,run\results_lean_taogrid_breakout_risk_sweep\trial_052
41,2.5,0.005,0.6,0.35,0.7,5.203889003269987,11.96859521949806,-0.18463456195150418,0.5618891375267017,299.0,1.8190078037904125,run\results_lean_taogrid_breakout_risk_sweep\trial_041
28,0.6,0.0015,1.6,0.7,0.7,5.203889003269982,11.96859521949793,-0.18463456195150468,0.5605831299896492,299.0,1.8190078037904125,run\results_lean_taogrid_breakout_risk_sweep\trial_028
133,0.8,0.005,1.6,0.05,0.995,5.203889003269981,11.968595219497923,-0.1846345619515046,0.5531996907315869,295.0,1.8074576271186442,run\results_lean_taogrid_breakout_risk_sweep\trial_133
121,1.5,0.0015,0.4,0.35,0.995,5.203889003269979,11.96859521949781,-0.18463456195150468,0.5648765518889414,302.0,1.8497240618101545,run\results_lean_taogrid_breakout_risk_sweep\trial_121
97,0.8,0.0008,1.2,0.9,0.95,5.2038890032699685,11.96859521949808,-0.18463456195150516,0.5674979654420447,308.0,1.9009199134199135,run\results_lean_taogrid_breakout_risk_sweep\trial_097
62,1.0,0.0015,1.2,0.9,0.9,5.2038890032699685,11.968595219497901,-0.1846345619515044,0.5668294422215724,302.0,1.8497240618101545,run\results_lean_taogrid_breakout_risk_sweep\trial_062
55,2.5,0.002,1.2,0.35,0.9,5.20388900326996,11.968595219497892,-0.18463456195150488,0.5563184960511304,297.0,1.8129629629629627,run\results_lean_taogrid_breakout_risk_sweep\trial_055
138,1.0,0.0015,1.2,0.2,0.8,5.203889003269949,11.968595219497749,-0.18463456195150443,0.5596410568973259,299.0,1.820847268673356,run\results_lean_taogrid_breakout_risk_sweep\trial_138
0,3.0,0.001,0.6,0.35,0.9,5.203889003269935,11.96859521949777,-0.18463456195150407,0.5623667805414356,303.0,1.8862486248624861,run\results_lean_taogrid_breakout_risk_sweep\trial_000
127,3.0,0.001,0.6,0.05,0.95,5.203889003269935,11.96859521949777,-0.18463456195150407,0.5623667805414356,303.0,1.8862486248624861,run\results_lean_taogrid_breakout_risk_sweep\trial_127
72,1.0,0.001,1.2,0.5,0.7,5.203889003269916,11.968595219497749,-0.18463456195150396,0.5601129177161819,302.0,1.8953090507726273,run\results_lean_taogrid_breakout_risk_sweep\trial_072
109,0.6,0.001,1.2,0.5,0.8,5.203889003269916,11.968595219497749,-0.18463456195150396,0.5601129177161819,302.0,1.8953090507726273,run\results_lean_taogrid_breakout_risk_sweep\trial_109
18,1.5,0.001,1.2,0.2,0.98,5.2038890032699,11.96859521949765,-0.1846345619515039,0.5559476837402303,298.0,1.834228187919463,run\results_lean_taogrid_breakout_risk_sweep\trial_018
81,0.6,0.003,1.6,0.1,0.98,5.2038890032698975,11.968595219497654,-0.18463456195150418,0.553942748894298,298.0,1.8265659955257272,run\results_lean_taogrid_breakout_risk_sweep\trial_081
21,3.0,0.003,0.6,0.35,0.98,5.203889003269897,11.968595219497644,-0.18463456195150496,0.5618030872239033,301.0,1.8326135105204873,run\results_lean_taogrid_breakout_risk_sweep\trial_021
47,3.0,0.003,0.6,0.5,0.98,5.203889003269897,11.968595219497644,-0.18463456195150496,0.5618030872239033,301.0,1.8326135105204873,run\results_lean_taogrid_breakout_risk_sweep\trial_047
106,1.5,0.003,0.6,0.35,0.85,5.203889003269897,11.968595219497644,-0.18463456195150496,0.5618030872239033,301.0,1.8326135105204873,run\results_lean_taogrid_breakout_risk_sweep\trial_106
131,1.5,0.003,0.6,0.35,0.9,5.203889003269897,11.968595219497644,-0.18463456195150496,0.5618030872239033,301.0,1.8326135105204873,run\results_lean_taogrid_breakout_risk_sweep\trial_131
108,2.0,0.003,0.4,0.35,0.7,5.203889003269889,11.96859521949756,-0.1846345619515045,0.5643161450946925,300.0,1.8588333333333333,run\results_lean_taogrid_breakout_risk_sweep\trial_108
37,0.6,0.002,1.2,0.05,0.95,5.2038890032698815,11.96859521949755,-0.18463456195150518,0.555575178530144,297.0,1.8129629629629627,run\results_lean_taogrid_breakout_risk_sweep\trial_037
33,1.0,0.002,1.6,0.5,0.98,5.203889003269862,11.968595219497406,-0.1846345619515053,0.5560462415552698,297.0,1.8129629629629627,run\results_lean_taogrid_breakout_risk_sweep\trial_033
123,1.0,0.002,1.6,0.5,0.85,5.203889003269862,11.968595219497406,-0.1846345619515053,0.5560462415552698,297.0,1.8129629629629627,run\results_lean_taogrid_breakout_risk_sweep\trial_123
43,1.2,0.003,0.9,0.1,0.9,5.203889003269856,11.9685952194977,-0.18463456195150404,0.5568621087129949,297.0,1.8129629629629627,run\results_lean_taogrid_breakout_risk_sweep\trial_043
78,0.6,0.002,1.2,0.1,0.7,5.203889003269837,11.968595219497407,-0.1846345619515049,0.5590366203019814,299.0,1.841638795986622,run\results_lean_taogrid_breakout_risk_sweep\trial_078
