timestamp,direction,size,price,level,market_price,cost,commission,slippage,proceeds,matched_trades
2025-08-01 18:21:00+00:00,sell,0.05861391563368375,113862.96587437924,17,113794.1,,1.3347908551123753,0.0,6672.619484706764,2.0
2025-08-01 18:22:00+00:00,buy,0.058642077316544056,113794.0,16,113845.9,6674.451169468046,1.334623309231763,0.0,,
2025-08-01 18:25:00+00:00,sell,0.05867264706385342,114045.14661977826,16,114071.6,,1.3382661273935332,0.0,6689.992370840272,1.0
2025-08-01 18:27:00+00:00,sell,0.058713074866940274,114227.61885436991,15,114336.0,,1.3413309475337878,0.0,6705.313406721405,0.0
2025-08-01 18:51:00+00:00,buy,0.05864259334090892,113862.96587437924,16,113809.3,6678.5550482818835,1.3354439208722022,0.0,,
2025-08-01 18:52:00+00:00,buy,0.05858795079715723,113809.3,15,113890.0,6669.187239392639,1.3335707337317815,0.0,,
2025-08-01 19:05:00+00:00,buy,0.05866718843242073,113681.07615253518,17,113688.8,6670.682985664321,1.3338698231682307,0.0,,
2025-08-01 19:07:00+00:00,sell,0.05869742953195023,113862.96587437924,17,113903.6,,1.3366926831420458,0.0,6682.126723027087,1.0
2025-08-01 19:14:00+00:00,buy,0.05866813744423902,113681.07615253518,17,113682.5,6670.790891926043,1.3338914001051876,0.0,,
2025-08-01 19:21:00+00:00,buy,0.058640025967022634,113499.47698935222,18,113473.8,6656.943400354682,1.3311224555798205,0.0,,
2025-08-01 19:24:00+00:00,buy,0.058639011705779905,113318.16792067913,19,113322.0,6646.194348253272,1.3289730750356474,0.0,,
2025-08-01 19:28:00+00:00,sell,0.058597231361703535,113499.47698935222,19,113403.3,,1.3301510225154836,0.0,6649.424961554902,1.0
2025-08-01 19:30:00+00:00,buy,0.05868389873512621,113318.16792067913,19,113387.9,6651.281881485383,1.3299903782214322,0.0,,
2025-08-01 19:33:00+00:00,sell,0.05875441901790433,113499.47698935222,19,113639.9,,1.3337191658690783,0.0,6667.262110179522,1.0
2025-08-01 19:34:00+00:00,sell,0.0587264010849231,113681.07615253518,18,113756.0,,1.3352160947798937,0.0,6674.745257804688,1.0
2025-08-01 19:35:00+00:00,sell,0.05869958924315965,113862.96587437924,17,113877.1,,1.3367418653667933,0.0,6682.372584968599,1.0
2025-08-01 19:37:00+00:00,buy,0.058644928441902985,113681.07615253518,17,113608.1,6668.1519398791825,1.33336371523279,0.0,,
2025-08-01 19:38:00+00:00,buy,0.05862671597328603,113499.47698935222,18,113420.6,6655.43242089138,1.3308203201142532,0.0,,
