timestamp,direction,size,price,level,market_price,cost,commission,slippage,mr_z,trend_score,proceeds,matched_trades
2025-07-25 07:17:00+00:00,sell,0.6397996737681061,115818.9,7,115764.0,,14.82017888723618,0.0,1.0045871795192387,-0.922167908486057,74086.07425729366,1.0
2025-07-25 07:32:00+00:00,buy,0.4937649250785882,115513.12546422616,7,115517.2,57047.73700638528,11.407265948087439,0.0,0.1556292534230121,-0.5671111485198638,,
2025-07-25 07:34:00+00:00,buy,0.4989758366023749,115328.59970469864,8,115294.0,57557.69375873677,11.509236904366482,0.0,-0.8009371482169814,-0.5372599558658286,,
2025-07-25 07:49:00+00:00,buy,0.4773203155508755,115144.36871475504,9,115189.0,54971.738558115,10.992149281766647,0.0,-1.1592201286153947,-0.6135730059217013,,
2025-07-25 07:50:00+00:00,sell,0.6406763090746765,115189.2,10,115183.9,,14.759798300252946,0.0,-1.172252384834223,-0.6228351025285268,73784.23170296448,0.0
2025-07-25 07:52:00+00:00,buy,0.4657225099280654,114960.43202351741,10,114971.5,53550.368876596156,10.707932188881456,0.0,-2.0210830057075726,-0.6613961757194823,,
2025-07-25 07:53:00+00:00,buy,0.45414320702332733,114776.78916086003,11,114792.2,52135.52414117753,10.42501982427065,0.0,-2.708422624517969,-0.6972120407001575,,
2025-07-25 07:57:00+00:00,sell,0.6415795141051044,114960.43202351741,11,115048.0,,14.751251623792237,0.0,-1.5470766495260169,-0.7908315000367526,73741.50686733739,1.0
2025-07-25 07:58:00+00:00,sell,0.6415209398591861,115144.36871475504,10,115224.5,,14.773504727476464,0.0,-0.8627271080784757,-0.7885634192672429,73852.75013265484,1.0
2025-07-25 07:59:00+00:00,sell,0.640552580080051,115328.59970469864,9,115324.1,,14.774806419572826,0.0,-0.47778948830052426,-0.7805790169249406,73859.25729144455,1.0
2025-07-25 08:00:00+00:00,sell,0.1284528307717635,115513.12546422616,8,115544.1,,2.967597591434746,0.0,0.36657683910327993,-0.7485984154337002,14835.020359582295,1.0
2025-07-25 08:11:00+00:00,buy,0.5796621959314836,115328.59970469864,8,115264.6,66864.99968440036,13.370325871705733,0.0,-0.7398861996525675,-0.23782817785317417,,
2025-07-25 08:13:00+00:00,sell,0.5796621959314836,115513.12546422616,8,115652.1,,13.391718393100463,0.0,0.7495016463895923,-0.15973248580731367,66945.20024710921,2.0
2025-07-25 08:20:00+00:00,buy,0.5829890433013253,115699.9,5,115914.5,67465.2643658612,13.4903548022118,0.0,1.7241252766711663,-0.21545669437186651,,
2025-07-25 08:21:00+00:00,sell,0.5829890433013253,115914.6,6,115897.9,,13.51538835173116,0.0,1.6436309320729205,-0.16981582795905978,67563.42637030406,1.0
2025-07-25 08:30:00+00:00,buy,0.6395221257718608,115697.94646496893,6,115621.1,74006.19495005002,14.798279334143178,0.0,0.48560192374220684,0.0454704466259656,,
2025-07-25 08:31:00+00:00,sell,0.6393584213205317,115697.94646496893,7,115673.7,,14.794491280373986,0.0,0.687791201975654,0.059523706549059745,73957.66191058955,1.0
2025-07-25 08:33:00+00:00,buy,0.640384056234408,115513.12546422616,7,115510.6,73987.55838586185,14.794552766619047,0.0,0.05584638059676279,0.08524008074814061,,
2025-07-25 08:36:00+00:00,buy,0.6364692882621656,115328.59970469864,8,115266.3,73417.79239267582,14.680622354064353,0.0,-0.8796303976142158,0.12081667534565735,,
2025-07-25 08:41:00+00:00,buy,0.6320622317122608,115144.36871475504,9,115099.1,72792.9623402793,14.5556813317895,0.0,-1.493379869591404,0.042680819398366335,,
2025-07-25 08:47:00+00:00,sell,0.6424589612190565,115328.59970469864,9,115454.0,,14.818778473025818,0.0,-0.030294329685586863,0.032463748777445414,74079.07358665606,1.0
2025-07-25 08:48:00+00:00,sell,0.6415875150280766,115513.12546422616,8,115551.9,,14.82235582394386,0.0,0.37040349457229416,0.07671467955972983,74096.95676389536,2.0
2025-07-25 08:51:00+00:00,buy,0.637662243784127,115328.59970469864,8,115306.8,73555.40179891157,14.708138732035907,0.0,-0.6008311396316895,0.16451041752579865,,
2025-07-25 08:59:00+00:00,buy,0.63376193723781,115144.36871475504,9,115192.1,72988.71300232358,14.59482363573757,0.0,-1.0498478901520738,0.42179333716529693,,
2025-07-25 09:05:00+00:00,sell,0.641404262410738,115328.59970469864,9,115259.3,,14.7944510856911,0.0,-0.6959985647043113,0.09755516689228504,73957.4609773698,1.0
2025-07-25 09:06:00+00:00,buy,0.6336349316231709,115144.36871475504,9,115096.0,72974.08609620645,14.591898839473396,0.0,-1.4480446618796377,0.03546930769983736,,
2025-07-25 09:14:00+00:00,sell,0.6425427774067665,115328.59970469864,9,115324.0,,14.820711753738053,0.0,-0.31320100529174305,-0.3617203563553957,74088.73805693652,1.0
