entry_timestamp,exit_timestamp,entry_price,exit_price,entry_level,exit_level,size,pnl,return_pct,holding_period
2025-09-09 07:43:00+00:00,2025-09-10 19:27:00+00:00,112995.29643337181,113216.9,10,10,0.5492741219510321,96.87060336658033,0.0015604708136912875,35.733333333333334
2025-09-10 19:14:00+00:00,2025-09-10 19:59:00+00:00,113357.17064991748,113538.54212295735,8,8,0.5432526358305106,73.87819198887883,0.0011994401119777586,0.75
2025-09-10 19:14:00+00:00,2025-09-10 19:59:00+00:00,113357.17064991748,113538.54212295735,8,8,0.006680595001189782,0.9085096832141062,0.001199440111943117,0.75
2025-09-10 16:12:00+00:00,2025-09-10 20:06:00+00:00,113720.20379035409,113902.15611641866,6,6,0.2668031957406264,36.39938745766267,0.0011994401119850555,3.9
2025-09-10 18:20:00+00:00,2025-09-10 20:08:00+00:00,113538.54212295735,113720.20379035409,7,7,0.5434162954945764,74.0186891655103,0.0011994401119776277,1.8
2025-09-10 21:00:00+00:00,2025-09-10 21:06:00+00:00,113538.54212295735,113720.20379035409,7,7,0.5497618743094823,74.8830199369113,0.0011994401119776552,0.1
2025-09-10 17:24:00+00:00,2025-09-10 22:01:00+00:00,113720.20379035409,113902.15611641866,6,6,0.0003331925073543074,0.045456738774952044,0.0011994401119775797,4.616666666666666
2025-09-10 17:24:00+00:00,2025-09-10 22:57:00+00:00,113720.20379035409,113902.15611641866,6,6,0.0159968046610951,2.182409732101405,0.0011994401119775372,5.55
2025-09-10 17:24:00+00:00,2025-09-10 22:57:00+00:00,113720.20379035409,113902.15611641866,6,6,0.5336316515657481,72.80222109398164,0.0011994401119773792,5.55
2025-09-10 20:07:00+00:00,2025-09-11 00:53:00+00:00,113720.20379035409,113902.15611641866,6,6,0.5466418574406832,74.57717556269199,0.0011994401119775804,4.766666666666667
2025-09-10 20:07:00+00:00,2025-09-11 00:53:00+00:00,113720.20379035409,113902.15611641866,6,6,0.002988023979136667,0.40764969942227935,0.0011994401119760835,4.766666666666667
2025-09-10 15:19:00+00:00,2025-09-11 01:15:00+00:00,113902.15611641866,114084.39956620493,5,5,0.00041068622350215467,0.0561186866382144,0.0011994401119775778,9.933333333333334
2025-09-10 15:19:00+00:00,2025-09-11 03:20:00+00:00,113902.15611641866,114084.39956620493,5,5,0.5474989298850027,74.81361468364776,0.0011994401119775175,12.016666666666667
2025-09-10 15:19:00+00:00,2025-09-11 03:20:00+00:00,113902.15611641866,114084.39956620493,5,5,0.001700229472192727,0.23232979219739036,0.0011994401119970394,12.016666666666667
2025-09-10 13:51:00+00:00,2025-09-11 03:43:00+00:00,114084.39956620493,114266.93460551086,4,4,0.0003749214355299735,0.051313536968528695,0.00119944011197758,13.866666666666667
2025-09-10 13:51:00+00:00,2025-09-11 05:31:00+00:00,114084.39956620493,114266.93460551086,4,4,0.1294392911058494,17.715679126087707,0.0011994401119777675,15.666666666666666
2025-09-10 13:51:00+00:00,2025-09-11 05:31:00+00:00,114084.39956620493,114266.93460551086,4,4,0.4250335215805716,58.1721162239337,0.0011994401119778597,15.666666666666666
2025-09-10 14:28:00+00:00,2025-09-11 06:21:00+00:00,114084.39956620493,114266.93460551086,4,4,0.5479712121934549,74.9979552778459,0.001199440111977768,15.883333333333333
2025-09-11 04:49:00+00:00,2025-09-11 06:21:00+00:00,114084.39956620493,114266.93460551086,4,4,0.006734123540634629,0.9216642861846367,0.001199440111977781,1.5333333333333334
2025-09-10 17:20:00+00:00,2025-09-11 10:37:00+00:00,113902.15611641866,114084.39956620493,5,5,0.5489923068293489,75.01767887664028,0.0011994401119775028,17.283333333333335
2025-09-11 04:49:00+00:00,2025-09-11 12:08:00+00:00,114084.39956620493,114266.93460551086,4,4,0.5446064359900836,74.53743594833941,0.001199440111977539,7.316666666666666
2025-09-11 06:07:00+00:00,2025-09-11 12:08:00+00:00,114084.39956620493,114266.93460551086,4,4,0.010002098105597601,1.3689348814612003,0.0011994401119777062,6.016666666666667
2025-09-11 07:00:00+00:00,2025-09-11 12:13:00+00:00,114266.93460551086,114449.76170087968,3,3,0.5327941595370589,73.03742462149967,0.0011994401119776064,5.216666666666667
2025-09-11 06:07:00+00:00,2025-09-11 12:26:00+00:00,114084.39956620493,114266.93460551086,4,4,0.5451281587411635,74.60884141398856,0.0011994401119780112,6.316666666666666
2025-09-11 07:04:00+00:00,2025-09-11 12:26:00+00:00,114084.39956620493,114266.93460551086,4,4,0.09592685697647818,13.129007454002931,0.0011994401119778781,5.366666666666666
2025-09-10 21:00:00+00:00,2025-09-11 12:34:00+00:00,113538.54212295735,113720.20379035409,7,7,0.5500950668168366,74.92840406158939,0.0011994401119856978,15.566666666666666
2025-09-11 12:30:00+00:00,2025-09-11 12:34:00+00:00,113538.54212295735,113720.20379035409,7,7,0.08379369611770349,11.413532495047548,0.0011994401119776637,0.06666666666666667
2025-09-10 22:33:00+00:00,2025-09-11 12:35:00+00:00,113720.20379035409,113902.15611641866,6,6,0.5493536591184903,74.94714084629959,0.0011994401119776621,14.033333333333333
2025-09-10 22:33:00+00:00,2025-09-11 12:35:00+00:00,113720.20379035409,113902.15611641866,6,6,0.08550964158435015,11.665896903581597,0.0011994401118545013,14.033333333333333
2025-09-10 17:20:00+00:00,2025-09-11 12:47:00+00:00,113902.15611641866,114084.39956620493,5,5,0.54980288860966,75.12844174995553,0.0011994401120250708,19.45
2025-09-11 01:37:00+00:00,2025-09-11 12:47:00+00:00,113902.15611641866,114084.39956620493,5,5,0.0850846301677608,11.626486170865974,0.0011994401119775884,11.166666666666666
2025-09-11 12:30:00+00:00,2025-09-11 13:23:00+00:00,113538.54212295735,113720.20379035409,7,7,0.550036874751694,74.92047772464866,0.001199440111977573,0.8833333333333333
2025-09-11 13:11:00+00:00,2025-09-11 13:23:00+00:00,113538.54212295735,113720.20379035409,7,7,0.08444216743484634,11.501860720120021,0.001199440111977692,0.2
2025-09-11 00:37:00+00:00,2025-09-11 13:31:00+00:00,113720.20379035409,113902.15611641866,6,6,0.5496284562268432,74.98463082608941,0.0011994401119774856,12.9
2025-09-11 00:37:00+00:00,2025-09-11 13:31:00+00:00,113720.20379035409,113902.15611641866,6,6,0.08639769101588302,11.787051583427456,0.001199440112016944,12.9
